Starting_Balance,Monthly_Income,Avg_Daily_Spend,Cashback_Received,Bill_Payments_This_Month,Num_Transactions,High_Value_Spend_Flag,Top_3_Spend_Categories,Wallet_Refills,Has_Credit_Linked,Has_Spend_Limit_Set,Avg_Spend_Per_Category,Days_Until_Min_Balance
18090.0,18228.0,1963.0,0.0,2.0,21.0,1,"Bills,Entertainment,Food",1.0,0,0,"{'Food': 1681, 'Shopping': 1707, 'Travel': 1619, 'Bills': 943, 'Groceries': 1615, 'Entertainment': 1688, 'Other': 1454}",14
16895.0,3374.0,1006.0,374.0,3.0,18.0,0,"Groceries,Bills,Entertainment",2.0,1,1,"{'Food': 980, 'Shopping': 131, 'Travel': 646, 'Bills': 323, 'Groceries': 315, 'Entertainment': 154, 'Other': 16}",19
3495.0,34985.0,142.0,0.0,2.0,21.0,0,"Bills,Shopping,Groceries",1.0,0,0,"{'Food': 26, 'Shopping': 92, 'Travel': 98, 'Bills': 65, 'Groceries': 117, 'Entertainment': 98, 'Other': 83}",30
18894.0,7909.0,425.0,0.0,3.0,15.0,1,"Other,Bills,Shopping",0.0,0,1,"{'Food': 214, 'Shopping': 304, 'Travel': 403, 'Bills': 221, 'Groceries': 211, 'Entertainment': 385, 'Other': 199}",30
3068.0,22585.0,330.0,0.0,2.0,20.0,0,"Bills,Entertainment,Shopping",1.0,0,0,"{'Food': 30, 'Shopping': 273, 'Travel': 59, 'Bills': 324, 'Groceries': 202, 'Entertainment': 46, 'Other': 318}",30
11068.0,32368.0,649.0,,5.0,20.0,0,"Shopping,Entertainment,Groceries",2.0,0,1,"{'Food': 184, 'Shopping': 162, 'Travel': 412, 'Bills': 628, 'Groceries': 34, 'Entertainment': 478, 'Other': 310}",30
1366.0,13236.0,928.0,0.0,2.0,19.0,0,"Other,Groceries,Bills",0.0,0,0,"{'Food': 540, 'Shopping': 403, 'Travel': 736, 'Bills': 248, 'Groceries': 123, 'Entertainment': 559, 'Other': 497}",13
10230.0,28620.0,945.0,0.0,0.0,16.0,0,"Entertainment,Shopping,Groceries",2.0,0,0,"{'Food': 389, 'Shopping': 827, 'Travel': 711, 'Bills': 821, 'Groceries': 492, 'Entertainment': 737, 'Other': 410}",30
1286.0,6659.0,1185.0,0.0,1.0,25.0,0,"Bills,Entertainment,Other",4.0,0,0,"{'Food': 628, 'Shopping': 375, 'Travel': 118, 'Bills': 953, 'Groceries': 674, 'Entertainment': 506, 'Other': 450}",5
12342.0,28989.0,1745.0,192.0,3.0,22.0,1,"Entertainment,Food,Travel",2.0,0,1,"{'Food': 1438, 'Shopping': 635, 'Travel': 318, 'Bills': 700, 'Groceries': 350, 'Entertainment': 1256, 'Other': 1721}",19
1386.0,21131.0,1288.0,110.0,2.0,31.0,0,"Shopping,Travel,Groceries",1.0,1,1,"{'Food': 826, 'Shopping': 144, 'Travel': 1179, 'Bills': 1111, 'Groceries': 1128, 'Entertainment': 565, 'Other': 1187}",15
3697.0,43111.0,763.0,0.0,2.0,20.0,0,"Food,Bills,Groceries",3.0,0,1,"{'Food': 566, 'Shopping': 516, 'Travel': 184, 'Bills': 585, 'Groceries': 663, 'Entertainment': 722, 'Other': 306}",30
9506.0,42251.0,673.0,418.0,3.0,19.0,0,"Food,Bills,Other",3.0,1,1,"{'Food': 484, 'Shopping': 637, 'Travel': 171, 'Bills': 113, 'Groceries': 128, 'Entertainment': 157, 'Other': 434}",30
9452.0,46491.0,1741.0,0.0,3.0,16.0,0,"Groceries,Entertainment,Food",0.0,0,1,"{'Food': 922, 'Shopping': 845, 'Travel': 632, 'Bills': 217, 'Groceries': 1577, 'Entertainment': 1281, 'Other': 1704}",29
