Total_Publications,Citations,h_Index,Field_Of_Study,Institution_Ranking,Avg_Authors_Per_Paper,Has_Won_Major_Award,Papers_In_Top_Journals,International_Collaborations,Years_Since_PhD,CoAuthor_Connections_With_Winners,Target
41.0,4126.0,55.0,Medicine,70,2.4174641525180265,0,3.0,0.0,12.0,1.0,No Win
45.0,3664.0,30.0,Chemistry,14,2.906984838951809,0,7.0,0.0,25.0,0.0,No Win
39.0,1210.0,40.0,Physics,121,3.9176350354615725,1,1.0,1.0,6.0,0.0,No Win
36.0,3498.0,30.0,Medicine,113,4.002675544981493,1,3.0,2.0,22.0,1.0,No Win
34.0,54.0,20.0,Medicine,24,4.37560433919621,0,2.0,3.0,22.0,1.0,No Win
37.0,261.0,23.0,Chemistry,15,2.4947434572362637,0,5.0,3.0,2.0,0.0,No Win
35.0,2962.0,25.0,Physics,102,3.389089636481577,0,2.0,5.0,16.0,0.0,No Win
35.0,2105.0,28.0,Economics,99,3.4786347674613456,0,,4.0,11.0,0.0,No Win
39.0,0.0,36.0,Peace,19,7.355880474736104,0,6.0,1.0,7.0,0.0,No Win
34.0,4549.0,29.0,Literature,95,2.384499816309886,0,1.0,0.0,25.0,0.0,No Win
45.0,1936.0,15.0,Medicine,83,4.8811462128469625,0,5.0,2.0,16.0,2.0,No Win
32.0,682.0,14.0,Physics,113,5.191657265272459,1,,1.0,25.0,2.0,No Win
38.0,2002.0,24.0,Literature,102,1.0,0,3.0,2.0,20.0,0.0,No Win
40.0,3841.0,33.0,Chemistry,16,1.8648492925029996,0,0.0,4.0,9.0,2.0,No Win
38.0,2356.0,31.0,Economics,57,4.323662980607166,1,2.0,0.0,44.0,0.0,No Win
35.0,1949.0,28.0,Peace,38,4.609898087173949,0,2.0,4.0,41.0,0.0,No Win
43.0,163.0,11.0,Medicine,21,6.354380373360594,0,3.0,1.0,12.0,0.0,No Win
32.0,0.0,32.0,Peace,61,4.726952613554485,0,3.0,,34.0,0.0,No Win
35.0,2469.0,12.0,Physics,100,2.9419394711561333,0,4.0,7.0,35.0,1.0,No Win
38.0,3601.0,19.0,Literature,145,4.909766925122655,0,3.0,3.0,45.0,2.0,No Win
34.0,4719.0,26.0,Physics,118,3.5221861662103615,0,0.0,0.0,25.0,2.0,No Win
39.0,0.0,5.0,Physics,160,1.0,1,3.0,0.0,29.0,2.0,No Win
47.0,4171.0,13.0,Peace,41,5.943842758217602,0,3.0,3.0,44.0,2.0,No Win
30.0,848.0,22.0,,191,1.0,1,5.0,4.0,32.0,0.0,No Win
48.0,4901.0,13.0,Medicine,192,2.328892007598769,0,4.0,2.0,9.0,1.0,No Win
47.0,3057.0,6.0,Physics,78,2.3869551897352923,0,5.0,1.0,49.0,0.0,No Win
47.0,948.0,31.0,Literature,71,5.33145257725165,0,0.0,0.0,32.0,2.0,No Win
36.0,2124.0,24.0,Chemistry,60,2.2391843668454,0,3.0,1.0,3.0,2.0,No Win
39.0,1019.0,32.0,Chemistry,145,4.663886333149888,0,0.0,1.0,32.0,2.0,No Win
46.0,3545.0,30.0,Peace,28,4.756094229386922,0,1.0,1.0,8.0,0.0,No Win
35.0,3857.0,14.0,Literature,34,4.45389651216564,0,4.0,0.0,38.0,0.0,No Win
46.0,2459.0,34.0,Chemistry,87,4.098275642290335,0,6.0,2.0,46.0,2.0,No Win
43.0,2471.0,20.0,Medicine,120,4.910139776495669,0,5.0,1.0,17.0,0.0,No Win
45.0,2222.0,7.0,Physics,191,3.7869968827103766,1,5.0,4.0,43.0,0.0,No Win
38.0,3745.0,17.0,Physics,121,5.940907917578382,0,2.0,1.0,40.0,2.0,No Win
42.0,1406.0,23.0,Peace,112,1.0,1,7.0,4.0,45.0,2.0,No Win
49.0,413.0,10.0,Physics,195,1.9223101870766928,0,2.0,2.0,9.0,1.0,No Win
49.0,2535.0,21.0,Peace,37,4.281440867258797,0,6.0,3.0,49.0,0.0,No Win
40.0,1568.0,37.0,Chemistry,177,,0,1.0,0.0,8.0,2.0,No Win
40.0,1276.0,6.0,Economics,139,5.520473345400423,0,3.0,0.0,31.0,0.0,No Win
46.0,0.0,27.0,Chemistry,91,4.5169698491253065,0,4.0,2.0,11.0,2.0,No Win
40.0,88.0,38.0,Physics,77,2.207091339730539,0,2.0,1.0,1.0,0.0,No Win
38.0,3421.0,38.0,Peace,180,3.5688881091518567,0,2.0,2.0,27.0,1.0,No Win
45.0,0.0,37.0,Literature,152,2.117268353899658,0,3.0,0.0,18.0,0.0,No Win
32.0,0.0,20.0,Economics,26,2.322956909128316,0,1.0,4.0,15.0,0.0,No Win
39.0,1578.0,20.0,Peace,176,1.0,0,5.0,0.0,19.0,2.0,No Win
43.0,0.0,19.0,Chemistry,109,3.371903787910119,0,3.0,4.0,12.0,0.0,No Win
