Games_Played_Last_5,Avg_Performance_Rating,Injury_Count_Last_Season,Recovery_Status,Disciplinary_Actions,Player_Role,Match_Importance,Fitness_Score,Travel_Fatigue_Index,Coach_Preference_Flag,Team_Need_For_Role,Target
0.0,8.451702110268823,0.0,Partial,0.0,Midfielder,Low,7.042613902278324,2.158592869125597,0,1,Selected
2.0,2.0663612051701543,0.0,Full,0.0,Defender,Medium,7.364365381442357,3.0699241777006874,0,1,Not Selected
1.0,10.0,0.0,Full,1.0,Goalkeeper,Medium,6.739507841410722,3.71802779469376,0,1,Selected
1.0,5.6941831292422656,0.0,Partial,2.0,Forward,Medium,7.449395273954128,1.6043376102662457,0,1,Not Selected
5.0,7.806660367389406,0.0,Full,0.0,Goalkeeper,High,7.742968146870405,1.7164187836608227,0,1,Not Selected
1.0,6.825291959465825,1.0,Rehab,0.0,,Medium,6.172341696557169,4.636664554845689,0,1,Selected
3.0,3.6150362507271794,0.0,Full,1.0,Midfielder,High,4.1550920127328554,3.1400531729596404,0,0,Not Selected
2.0,4.85228378555831,2.0,Partial,0.0,Forward,Low,6.8967917806514905,4.566605071074905,0,0,Not Selected
3.0,9.048461783680903,0.0,Full,0.0,Defender,Low,6.54583582512716,2.344745905689048,0,1,Selected
1.0,5.708670248007213,1.0,Full,0.0,Goalkeeper,Low,7.061934457247525,3.853982240812553,0,0,Not Selected
4.0,4.486510786712403,0.0,Full,0.0,Midfielder,Low,7.452542200867694,4.211090678937138,0,0,Not Selected
3.0,9.893131407594707,0.0,Rehab,0.0,Goalkeeper,Low,6.03579371787106,1.816388834276042,0,0,Not Selected
5.0,5.911332884152233,1.0,Full,0.0,Defender,Low,5.969849281710248,2.4650812780083475,0,0,Not Selected
0.0,7.125931793073289,1.0,Rehab,0.0,Midfielder,Low,7.332096422790968,4.1300197809400805,1,1,Not Selected
1.0,8.953529852826838,1.0,Partial,0.0,Defender,High,6.977344550391824,2.5044664765946,0,0,Not Selected
3.0,6.227030893947122,0.0,Full,1.0,Forward,Medium,6.597781901800659,2.421509225518414,0,0,Not Selected
1.0,6.8004895788368405,0.0,Full,0.0,Midfielder,Low,9.586207690455424,4.610763629446241,0,1,Selected
0.0,6.725477596790587,0.0,Rehab,0.0,Midfielder,Low,7.33964330813201,3.924205076062457,0,0,Not Selected
2.0,7.765206736783458,0.0,Full,0.0,Defender,Low,6.059733730438902,3.998391557329402,0,0,Not Selected
1.0,7.794601647970213,1.0,Rehab,0.0,Forward,Low,9.275737167414057,2.167157090142654,0,0,Selected
0.0,5.308864245058165,0.0,Partial,0.0,Midfielder,Low,4.363254251390165,4.893907931504598,0,1,Not Selected
2.0,3.4132556146810007,0.0,Full,0.0,Defender,High,7.2173477109526045,3.0117766009562383,0,0,Not Selected
