Subject_Difficulty_Level,Previous_Grade,Attendance_Rate,Avg_Study_Hours_Last_Sem,Screen_Time_Hours,Coaching_Enrolled,Assignment_Completion_Rate,Preferred_Study_Mode,Number_of_Reference_Books_Used,Sleep_Hours,Stress_Self_Rating,Required_Study_Hours
1,C,95.77965132514997,2.7411313687268892,4.994241527271422,1,0.8210826816909532,Solo,1,5.032576651231429,4,1.0
1,D,93.21340413409004,3.3981447226281514,1.985060692107326,0,0.9238047885232572,Solo,2,5.67933606053724,2,1.0
1,A,97.5480618208804,0.5,3.2202240344899433,1,1.0,Online,4,6.691254854393205,1,1.0517921428588242
2,D,92.47478797235145,1.2041431808586958,2.987006086370477,0,0.9343103332188245,Group,2,5.019199297195787,5,2.160028678096872
2,C,90.21838617736358,1.715117019890139,2.58462521820723,0,0.8859155489744854,Group,4,6.16681119697849,4,1.581695148134091
3,A,90.93423362487312,4.015374002797054,5.186980479767698,1,0.613613223978842,Group,0,6.8042849587664165,1,3.38832691243098
1,D,87.50324655423272,1.8596151496634414,5.290248037645068,0,0.8215435156325999,Solo,5,6.614423716467169,1,1.0
1,C,84.89009418026211,2.8500341009055306,3.5439899843604956,0,0.7171219908509028,Online,2,6.7026165653719625,1,1.7857207854687553
2,A,100.0,1.6055094446266591,5.616652278239736,0,0.9194065965154528,Solo,1,6.229069033883206,5,3.439694254707423
3,B,95.0779127038523,0.718266995857586,2.7993121459911734,0,0.8796951773368781,Group,1,4.676504110540413,5,3.7741957392690866
2,C,90.53714679846759,2.902391802324868,4.692299867290461,0,0.895512548163898,Group,2,7.147988978945348,4,1.9906026673946466
1,A,83.96387368876862,2.5834044908271356,3.320063329020167,1,0.7728240063218956,Group,1,4.453962071322365,3,2.0815449351836928
2,D,85.2719686889563,3.777324898860098,5.017510391227572,0,0.8711042606104736,Group,2,7.552248172082499,3,1.0
1,B,84.75304492198225,1.6880675761645016,3.5620448259149606,0,0.8031989021080558,Group,1,5.514178387312097,4,2.200517764136711
2,B,84.76858702722964,2.849904306579659,2.790353008907558,1,0.8955023384290891,Online,2,5.954952061987724,3,1.808331477609086
1,D,90.70674147012238,1.2630560866883582,6.4240397316756574,1,0.7588743787969142,Group,1,6.911815986735597,5,1.0
3,D,83.77579710519731,2.839968976638481,5.453557301286363,1,0.901395305730867,Group,1,7.185177484095951,3,1.4009914069272158
2,C,81.68403454162932,1.9849865078932851,5.188784353320051,1,0.8041923730985329,Solo,0,7.5711285928646985,3,1.4777996079145943
2,D,86.91148057038485,1.7162573829940908,3.7569975165010385,0,0.9516896116225098,Online,3,7.539339361942733,1,1.0
3,A,100.0,1.8365291797546082,4.7334915637942006,0,0.815726195394483,Online,4,6.49422347188315,5,3.4356851528083774
1,D,88.30408604165866,4.515043879550944,3.916166465700524,0,0.822750297245405,Solo,1,5.233522029149015,2,1.0
2,B,93.1758668578142,2.5601549787590927,2.3360159646001177,1,,Solo,0,5.104667787344696,1,1.6804005800408859
2,B,92.48724922968518,2.6308362691832707,2.6157432571921806,1,0.9937971153815869,Online,2,7.113686885425534,2,1.0
3,A,88.39394331303939,0.5,2.6478880865633823,1,0.6775497103887562,Solo,1,6.759369432692932,2,3.434222858265505
2,B,95.44740758208451,1.4370733780039369,4.572445783423955,1,0.8731590112062082,Solo,0,6.317627162886784,3,2.1570030074880484
2,C,89.85516168103855,3.311031551674448,5.329555705254221,0,0.7152907772022101,Online,3,5.65379163077902,5,2.5719212295844827
2,B,89.62821546244474,2.331424994701016,5.2421827009385344,0,0.9096174252187192,Solo,1,5.625884134092486,2,2.776081163495709
2,C,89.63523389642428,2.6371641934211127,3.147474670290031,1,1.0,Solo,3,4.672044249704985,5,1.5044903088697839
3,A,95.41180136381635,3.291555804764217,2.9693337147971945,0,1.0,Group,3,5.539994660102852,1,2.8916351407646723
2,A,98.38671262338488,3.137612822840863,5.13422441270848,0,0.8536156353039678,Group,0,7.800570118085719,1,3.24664125991864
3,D,90.71882876271097,3.5502272919539197,4.040589603422409,1,0.7722751888030908,Online,2,6.274014937992677,4,1.0
2,D,81.6744243869265,3.267516128637012,2.581343143252431,0,1.0,Solo,2,5.3525594684717746,3,1.7717914895501359
2,C,84.55920662372938,2.175283319030369,4.90492364539057,0,1.0,Group,4,5.242195292067387,3,1.939374849004406
2,A,93.34393878642288,2.7369172882280304,5.209641767105837,1,0.8130027192057058,Online,3,5.062139833395299,5,3.073185639088231
1,D,77.60101182857042,0.6622480670336817,4.543977581773633,1,0.9990975029170779,Group,2,5.56433555821098,3,1.0
3,A,97.34954132358794,1.0996092290712363,5.660802268495408,1,0.8911073199948585,Online,0,6.168546750117746,4,2.790156893001213
1,B,90.9803473321713,2.745722737463936,2.58999366716006,0,,Group,0,6.048821190058436,4,1.5010222187862328
3,C,87.28536200682353,1.0607035320642555,3.1933195084159025,0,0.8024402622034326,Online,1,6.277658593584129,4,2.9182751492738737
2,D,80.89251496457209,1.246254463046125,3.9885733000847927,0,0.8725360136090818,Solo,0,5.612953475213762,5,1.4076596169581927
1,A,88.56291749612954,1.1883233023815962,5.0550666552901555,0,0.7580363795065761,Online,0,6.009544713453051,2,2.8230000195677376
3,A,100.0,2.09948250217873,5.166920174986487,1,0.8209653513026123,Solo,0,6.817976367485551,3,2.8074387206988454
1,A,91.90442209550535,1.2567659285800505,1.1451088335301467,1,0.8329736585748819,Group,1,5.589067277532474,3,1.0
1,C,76.6154837553384,0.5,4.41618394470077,0,0.7550653129847236,Group,1,5.790779026405194,3,1.0
2,D,80.5693177983638,3.59310878169054,4.491412645055228,0,0.8236375515358635,Group,2,6.91435563069976,4,1.775631803242928
1,A,100.0,2.253020934550575,7.538384676872601,1,1.0,Solo,1,6.496545910252558,4,3.4399854907952707
1,A,100.0,2.1701514155498556,4.002714698103917,0,0.8450637501091197,Group,2,5.571933440578733,4,2.679698394512672
2,A,85.87387097584656,1.9717399170981813,2.3922040779924667,0,1.0,Group,2,6.630802746614842,2,3.3955882191484243
3,B,85.32997035725492,2.094216224678243,2.6546689295915935,0,0.8975704971192244,Group,2,7.527099365941873,1,2.0330378077080655
1,B,78.99414761342413,3.6437445807635567,2.3996672958956906,0,0.7206484175163863,Online,2,6.083043998187787,5,1.047371749889419
1,A,83.71466381152328,3.2274958234347277,3.5895866681553388,1,0.9788766272995604,Group,2,5.245783635749132,5,1.6325698343525137
1,D,96.21422821805491,4.167116501675422,1.8227090702588198,0,0.8155973104142111,Online,2,6.150053785127045,4,1.0
1,B,90.03815856329332,2.6953582823415587,4.844578375075994,0,0.8520759230932601,Online,0,6.179227748106478,2,1.7168592095240527
3,A,86.99143808070693,4.4964271018581154,6.29272739113903,1,0.8560280720625112,Solo,0,5.687949719058249,4,2.8415055871681334
2,A,92.7647740258178,2.578640617939325,3.4976334745977233,0,0.8159701839776392,Online,2,6.825713388714744,3,3.095330429502042
2,A,86.59278893697532,2.206228600168224,3.603396100760308,0,0.907004688065864,Group,0,6.245507867291792,5,3.0475888471908976
