Day_Of_Week,Is_Public_Holiday,Festival_Flag,Darshan_Type,Weather_Condition,Temperature_C,Buses_Arrived_Last_15_Min,Entry_Gate,VIP_Visit_Today,Security_Check_Lag_Minutes,Approx_Head_Count,Is_Weekend,Online_Booking_Peak_Flag,Estimated_Wait_Time_Minutes
Mon,0,1,Free,Cloudy,30.59075415240277,13.0,Q-Complex II,0,13.046059712816051,5223.0,0,0,106.32863613684867
Tue,0,1,₹300,Cloudy,26.12210245626019,13.0,Q-Complex I,0,11.08512008717193,2909.0,0,0,80.92696849915644
Fri,0,0,Senior,Sunny,27.367903697915157,7.0,Q-Complex I,0,4.175392597329417,2519.0,0,0,48.10259170256261
Tue,0,0,₹300,Sunny,30.946011101048263,7.0,Q-Complex I,1,4.884578142088199,3174.0,0,1,80.03338333683125
Fri,0,0,₹300,Cloudy,27.53740687044704,8.0,Special Entry,1,6.3977926088214225,2458.0,0,0,65.03617405302576
Tue,0,0,Senior,Sunny,34.57732932043504,6.0,Q-Complex I,0,8.509995594489471,3943.0,0,0,55.448955897211086
Sun,1,0,₹300,Cloudy,29.446544100190536,16.0,Vaikuntam,0,5.709760490789751,6697.0,1,0,108.07780646545287
Wed,0,0,₹300,Sunny,31.348188272952683,7.0,Vaikuntam,0,6.401985299068265,3401.0,0,1,70.2029185637284
Mon,0,0,Free,Sunny,31.388310197392162,8.0,Vaikuntam,0,8.937289981065778,1867.0,0,0,41.504063367238984
Sun,0,1,VIP,Cloudy,28.85975532037902,21.0,Q-Complex I,1,5.95537013360853,3464.0,1,0,107.46280075636244
Sat,0,0,Senior,Sunny,28.363270790254088,9.0,Special Entry,0,7.007874608862806,4122.0,1,0,59.2186192949014
Mon,0,0,VIP,Cloudy,26.026270071186694,4.0,Vaikuntam,0,8.846325216683905,3519.0,0,0,45.92195753330737
Fri,0,0,₹300,Cloudy,24.86698683065505,12.0,Q-Complex I,0,6.355876967588649,3417.0,0,1,76.01080033375457
Sat,0,0,₹300,Cloudy,28.9051530779955,3.0,Q-Complex I,0,8.694802865153278,4492.0,1,0,61.98396746971222
Sun,0,0,,Cloudy,24.995282301344286,9.0,Special Entry,0,4.739143893758939,3221.0,1,0,59.08506013893906
Wed,0,0,Senior,Cloudy,22.374378931273803,8.0,Vaikuntam,0,6.930940687810383,2900.0,0,1,65.63264477754907
Tue,1,0,VIP,Sunny,27.61282512772638,17.0,Vaikuntam,0,3.9703055506282707,4568.0,0,0,92.11269990838376
Sat,0,0,Free,Cloudy,28.232834873784,18.0,Q-Complex II,0,4.714059404338753,2611.0,1,0,67.23343010127037
Fri,0,0,₹300,Sunny,29.341872778440433,6.0,Special Entry,0,7.160397425081629,4911.0,0,0,77.4874662166843
Wed,0,1,₹300,Cloudy,19.899429653369573,22.0,Q-Complex I,0,10.372908629538856,4382.0,0,0,116.49941728257961
Tue,0,0,Free,Cloudy,35.061816961124386,10.0,Special Entry,0,7.809963421921911,3355.0,0,0,65.2331336890686
Wed,0,0,Free,Sunny,25.82023010208056,8.0,Vaikuntam,0,6.789762990507173,2838.0,0,0,51.47424602609297
Tue,1,0,Senior,,37.34406726458141,12.0,Special Entry,0,4.524369002346302,4351.0,0,1,89.49187955952873
Tue,0,0,VIP,Sunny,32.12396747094013,5.0,Vaikuntam,0,5.754600960358813,3761.0,0,1,70.62735219767067
Sat,0,0,Senior,Cloudy,24.68401995631171,14.0,Special Entry,0,5.879637919606061,3545.0,1,0,67.77830413663878
Wed,0,1,₹300,Rainy,24.91583815084583,19.0,Q-Complex II,0,8.773810634183244,4195.0,0,0,92.6528675702446
Fri,0,0,Senior,Sunny,28.20341368763233,8.0,Q-Complex I,0,6.982365907508385,2653.0,0,1,60.531479545145714
Sun,0,0,Free,Sunny,25.207662634010703,10.0,Q-Complex II,0,4.1850724512468895,2985.0,1,0,52.5917792566462
Sun,0,0,Senior,Sunny,36.08455290392366,7.0,Special Entry,1,8.541726202928078,3179.0,1,0,69.39468820683706
Thu,0,1,Senior,Sunny,40.103045190268816,21.0,Q-Complex I,0,10.812453370099856,5697.0,0,0,120.69916339879161
Sat,0,1,Free,Cloudy,27.55627225748196,19.0,Vaikuntam,0,11.952618252962205,3300.0,1,0,90.32384314455841
Sun,0,1,VIP,Sunny,23.349173931743124,22.0,Special Entry,0,10.724952917610604,3943.0,1,1,123.31224674688238
Tue,1,0,Senior,Sunny,30.705555536832374,9.0,Vaikuntam,0,6.435557622025578,3908.0,0,0,77.70463918189289
Fri,0,0,₹300,Sunny,32.037557235998776,13.0,Q-Complex I,0,7.604696580663285,3265.0,0,0,62.51226389788051
